경기,1팀,2팀,조,1팀득점,2팀득점,결과,경기일자
1경기,1학년 2반,1학년 1반,A,0,3,1학년 1반 승리,4월 1일
2경기,2학년 6반,2학년 7반,B,2,2,무승부,4월 2일
3경기,2학년 2반,1학년 7반,C,5,1,2학년 2반 승리,4월 3일
4경기,2학년 3반,3학년 2반,D,2,5,3학년 2반 승리,4월 4일
5경기,3학년 3반,3학년 5반,F,2,1,3학년 3반 승리,4월 8일
6경기,3학년 4반,1학년 6반,E,8,0,3학년 4반 승리,4월 9일
7경기,1학년 5반,2학년 1반,G,3,1,1학년 5반 승리,4월 11일
8경기,1학년 2반,1학년 4반,A,1,1,무승부,4월 16일
9경기,2학년 6반,3학년 7반,B,7,3,2학년 6반 승리,4월 17일
10경기,2학년 2반,2학년 5반,C,3,1,2학년 2반 승리,4월 18일
11경기,2학년 3반,3학년 6반,D,예정,예정,예정,5월 7일
12경기,1학년 5반,2학년 4반,G,예정,예정,예정,5월 8일
13경기,3학년 3반,3학년 1반,F,예정,예정,예정,5월 9일
14경기,3학년 4반,1학년 3반,E,예정,예정,예정,5월 12일
15경기,1학년 1반,1학년 4반,A,예정,예정,예정,5월 13일
16경기,3학년 2반,3학년 6반,D,예정,예정,예정,5월 14일
17경기,미정,미정,미정,예정,예정,예정,예정
18경기,미정,미정,미정,예정,예정,예정,예정
19경기,미정,미정,미정,예정,예정,예정,예정
20경기,미정,미정,미정,예정,예정,예정,예정
21경기,미정,미정,미정,예정,예정,예정,예정
